id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1164457540739973122,1164457540739973122,1566463286000,2019-08-22,03:41:26,CDT,952901592453283841,nogikoi_kaito,kaito⊿,,いきなり落ちてきたのでスクショできませんでした( ;´꒳`;) BP1で落ちました 確率の問題ですね🤔 pic.twitter.com/ybSpCnkBeJ,[],[],"['https://pbs.twimg.com/media/ECj79V_VAAAoueC.jpg', 'https://pbs.twimg.com/media/ECj79V_VUAAgWms.jpg']",0,0,9,[],[],https://twitter.com/NoGiKoI_kaito/status/1164457540739973122,False,,0,,,,,,,"[{'user_id': '952901592453283841', 'username': 'NoGiKoI_kaito'}]",
1164439770862239744,1164437855076155392,1566459050000,2019-08-22,02:30:50,CDT,1077384221721747456,nao_romasaga_rs,nao@ロマサガRS便利ツール,,BP1あげるだけで威力が40 > 51に変化するの不憫ませんぎゃ？｡ﾟ( ﾟஇωஇﾟ)ﾟ｡ pic.twitter.com/I2f306yycR,[],[],['https://pbs.twimg.com/media/ECjrzAiUEAAa-WH.jpg'],4,0,8,[],[],https://twitter.com/nao_romasaga_rs/status/1164439770862239744,False,,0,,,,,,,"[{'user_id': '1077384221721747456', 'username': 'nao_romasaga_rs'}]",
1164437886650978304,1164437886650978304,1566458601000,2019-08-22,02:23:21,CDT,939738365951438848,reem_bp1,ايچاف•⚜️,,جيني لها فتره مو محدثه في الانستقرام غريبه🤔,[],[],[],0,0,1,[],[],https://twitter.com/reem_bp1/status/1164437886650978304,False,,0,,,,,,,"[{'user_id': '939738365951438848', 'username': 'reem_bp1'}]",
1164422354237349888,1164422354237349888,1566454897000,2019-08-22,01:21:37,CDT,967428393095565312,mixdiversity,Diversity In The mix,,Congressman celebrates diversity with Strathdon Estate CTC BP1,[],[],[],0,0,0,[],[],https://twitter.com/MixDiversity/status/1164422354237349888,False,,0,,,,,,,"[{'user_id': '967428393095565312', 'username': 'MixDiversity'}]",
1164419614467657728,1164371643797516291,1566454244000,2019-08-22,01:10:44,CDT,1083899411854442503,lunamayass,MariaFirmina🏳‍🌈,,E tá errada? Jamais. Kakaka amoooo,['vic_bp1'],[],[],0,0,0,[],[],https://twitter.com/LunaMayaSS/status/1164419614467657728,False,,0,,,,,,,"[{'user_id': '1083899411854442503', 'username': 'LunaMayaSS'}, {'user_id': '1145152708829208576', 'username': 'vic_bp1'}]",
1164413519623647232,1164413519623647232,1566452791000,2019-08-22,00:46:31,CDT,788719142564007937,bangshopvip,#บชวอพ ปิดรอบ08/08,,ขายเหมา เหมาะสำหรับคนอยากสะสม หรือนำไปขายต่อ  ราคา 1000 บาท ค่าส่ง 100฿   เสื้อ BP size L 2 ตัว  เสื้อ BTS live your self x1 1 ตัว  พัด BP 3 อัน ใหญ่  พัด BP 4 อัน เล็ก  รองเท้า คุกกี้ size 39 1  ถุงBP1  ที่ตั้งมือถือexo 1  พวงกุญแจ exo 1  ยางรัดผม BP 1  สร้อย suga 1  แทททู exo 2 pic.twitter.com/bUM9UKBRXx,[],[],['https://pbs.twimg.com/media/ECjT45zVUAA-Qhk.jpg'],1,0,1,[],[],https://twitter.com/bangshopvip/status/1164413519623647232,False,,0,,,,,,,"[{'user_id': '788719142564007937', 'username': 'bangshopvip'}]",
1164405643832385536,1164399901658288128,1566450913000,2019-08-22,00:15:13,CDT,939738365951438848,reem_bp1,ايچاف•⚜️,,نزلت عنه قبل يومين تحصلينه في التغريده المثبته فوق في حسابي,['ra_al22'],[],[],0,0,1,[],[],https://twitter.com/reem_bp1/status/1164405643832385536,False,,0,,,,,,,"[{'user_id': '939738365951438848', 'username': 'reem_bp1'}, {'user_id': '854133489553297412', 'username': 'RA_AL22'}]",
1164403560047677440,1164399901658288128,1566450416000,2019-08-22,00:06:56,CDT,854133489553297412,ra_al22,ラハフ,,وش قصته,['reem_bp1'],[],[],1,0,0,[],[],https://twitter.com/RA_AL22/status/1164403560047677440,False,,0,,,,,,,"[{'user_id': '854133489553297412', 'username': 'RA_AL22'}, {'user_id': '939738365951438848', 'username': 'reem_bp1'}]",
1164400799482384385,1164400799482384385,1566449758000,2019-08-21,23:55:58,CDT,1084096803279069184,iszks,こけみ®@38w4d→3m♀,,BP1プログラムの1回目に参加してきた！ 色んな情報を交換できたよ😳✨ また来週が楽しみ 大人と健全な会話って大事！リフレッシュ！ ペアになってくれた方が可愛くて気さくで明るくて良い人で🥺 4回目までに友達できるといいなぁ,[],[],[],0,1,3,[],[],https://twitter.com/IszkS/status/1164400799482384385,False,,0,,,,,,,"[{'user_id': '1084096803279069184', 'username': 'IszkS'}]",
1164399901658288128,1164399901658288128,1566449544000,2019-08-21,23:52:24,CDT,939738365951438848,reem_bp1,ايچاف•⚜️,,يستاهل👍🏼 https://twitter.com/news_kmovies/status/1164390298140778502 …,[],['https://twitter.com/news_kmovies/status/1164390298140778502'],[],1,0,0,[],[],https://twitter.com/reem_bp1/status/1164399901658288128,False,https://twitter.com/news_Kmovies/status/1164390298140778502,0,,,,,,,"[{'user_id': '939738365951438848', 'username': 'reem_bp1'}]",
1164377787865751552,1164377787865751552,1566444272000,2019-08-21,22:24:32,CDT,711644866921553921,joaovictor_bp1,João Victor,,Maturidade é o que a gente precisa buscar.,[],[],[],0,0,0,[],[],https://twitter.com/Joaovictor_bp1/status/1164377787865751552,False,,0,,,,,,,"[{'user_id': '711644866921553921', 'username': 'Joaovictor_bp1'}]",
1164376511186685958,1164376511186685958,1566443967000,2019-08-21,22:19:27,CDT,711644866921553921,joaovictor_bp1,João Victor,,"As pessoas me encontram na rua falam ""que eu tô sumido"" é engraçado. Só ando sem saco pra zoeira, baladas, falsas amizades, interesses etc...",[],[],[],0,0,0,[],[],https://twitter.com/Joaovictor_bp1/status/1164376511186685958,False,,0,,,,,,,"[{'user_id': '711644866921553921', 'username': 'Joaovictor_bp1'}]",
1164372519740215296,1164372519740215296,1566443016000,2019-08-21,22:03:36,CDT,711644866921553921,joaovictor_bp1,João Victor,,As vezes eu fico me perguntando da revolta em massa nas redes sociais sobre o governo. Será que muda a realidade dos ocorridos? Obs: algumas pessoas com certezas vão compreender e chegar ao entendimento sobre o determinado assunto.,[],[],[],0,0,0,[],[],https://twitter.com/Joaovictor_bp1/status/1164372519740215296,False,,0,,,,,,,"[{'user_id': '711644866921553921', 'username': 'Joaovictor_bp1'}]",
1164371643797516291,1164371643797516291,1566442807000,2019-08-21,22:00:07,CDT,1145152708829208576,vic_bp1,bezerrinha,,a mamãe assistindo OITNB é td p mim ksjsjkk,[],[],[],1,0,0,[],[],https://twitter.com/vic_bp1/status/1164371643797516291,False,,0,,,,,,,"[{'user_id': '1145152708829208576', 'username': 'vic_bp1'}]",
1164360864864047104,1164359359574552577,1566440237000,2019-08-21,21:17:17,CDT,1109937347443994624,noni14563896,Noni,,بدل حدث كان نزل لهم ألبوم كامل وكل عضوه سولو لها 😭😭 شركتهم تقهر,['reem_bp1'],[],[],0,0,1,[],[],https://twitter.com/Noni14563896/status/1164360864864047104,False,,0,,,,,,,"[{'user_id': '1109937347443994624', 'username': 'Noni14563896'}, {'user_id': '939738365951438848', 'username': 'reem_bp1'}]",
1164359359574552577,1164359359574552577,1566439878000,2019-08-21,21:11:18,CDT,939738365951438848,reem_bp1,ايچاف•⚜️,,حتى عودات بلاك بينك ماعطوها كل ذا الاهتمام زي ذا الحدث https://twitter.com/ygent_official/status/1164356596882792448 …,[],['https://twitter.com/ygent_official/status/1164356596882792448'],[],1,0,0,[],[],https://twitter.com/reem_bp1/status/1164359359574552577,False,https://twitter.com/ygent_official/status/1164356596882792448,0,,,,,,,"[{'user_id': '939738365951438848', 'username': 'reem_bp1'}]",
1164358960465530880,1164358960465530880,1566439783000,2019-08-21,21:09:43,CDT,939738365951438848,reem_bp1,ايچاف•⚜️,,يمه ليسا ماتمزح 🔥🔥 https://twitter.com/4blackpink/status/1164357935209832448 …,[],['https://twitter.com/4blackpink/status/1164357935209832448'],[],0,0,0,[],[],https://twitter.com/reem_bp1/status/1164358960465530880,False,https://twitter.com/4BLACKPINK/status/1164357935209832448,0,,,,,,,"[{'user_id': '939738365951438848', 'username': 'reem_bp1'}]",
1164313113073577984,1164313113073577984,1566428852000,2019-08-21,18:07:32,CDT,741219021232570368,grbl_yuyuki,ゆゆ@グラブル,,【四象降臨】 武器に目がいきがちだけど、ルピ交換に着目。 最初は輝き150で10000ルピ。 アグニスやマッチョをBP1で殴ったら10000貰えるよ！よ！,[],[],[],0,0,0,[],[],https://twitter.com/grbl_yuyuki/status/1164313113073577984,False,,0,,,,,,,"[{'user_id': '741219021232570368', 'username': 'grbl_yuyuki'}]",
1164301058589356032,1164297323901403138,1566425978000,2019-08-21,17:19:38,CDT,1063240443826073603,mohuzusa,もふずさー,,普段のレイドだと初級のＨＰが多くてＢＰ１じゃ倒せないから応援もガンガン来るんだけど、初級が倒せるから余り流れてこないのよね。上級が美味しい感じならいずれ増えてくると思う（まだ叩けてない）,['kagetora_aka'],[],[],0,0,0,[],[],https://twitter.com/mohuzusa/status/1164301058589356032,False,,0,,,,,,,"[{'user_id': '1063240443826073603', 'username': 'mohuzusa'}, {'user_id': '1073964386086137857', 'username': 'kagetora_aka'}]",
1164300053424607235,1164290121304289282,1566425739000,2019-08-21,17:15:39,CDT,1084336482721189888,afriquena20,Yahaira,,GIRL if i could live with the mania aspect of bp1 & not the severe ass consistent ass depression ? I would be... happy.,['traviland'],[],[],0,0,3,[],[],https://twitter.com/afriquena20/status/1164300053424607235,False,,0,,,,,,,"[{'user_id': '1084336482721189888', 'username': 'afriquena20'}, {'user_id': '2684776475', 'username': 'Traviland'}]",
1164292581326385152,1164292581326385152,1566423957000,2019-08-21,16:45:57,CDT,3227016824,bp1huri,BP1ふり,,下のシャープなんだ！？って思った(* Ŏ∀Ŏ)･;ﾞ.:’;、,[],[],[],0,0,0,[],[],https://twitter.com/BP1huri/status/1164292581326385152,False,,0,,,,,,,"[{'user_id': '3227016824', 'username': 'BP1huri'}]",
1164292486602403841,1164292486602403841,1566423934000,2019-08-21,16:45:34,CDT,1107624900683022337,nickysportscol1,Nicky Sports Collectibles,,Let's see if anyone wants this now.. lol  $220 OBO  2019 Bowman Mega Set (500 cards) 1 - 100  BP1 - BP150 BCP1 - BCP150 100 MOJO Complete Set  @HobbyConnector @CardCollectorMC @sweetpaintattoo @taurean1977 @VintageCards2 pic.twitter.com/TnNEmUZayu,"['hobbyconnector', 'cardcollectormc', 'sweetpaintattoo', 'taurean1977', 'vintagecards2']",[],['https://pbs.twimg.com/media/EChl2A7XsAEHzRA.jpg'],0,4,11,[],[],https://twitter.com/NickySportsCol1/status/1164292486602403841,False,,0,,,,,,,"[{'user_id': '1107624900683022337', 'username': 'NickySportsCol1'}, {'user_id': '407647770', 'username': 'HobbyConnector'}, {'user_id': '1144009722250633216', 'username': 'CardCollectorMC'}, {'user_id': '204485537', 'username': 'sweetpaintattoo'}, {'user_id': '602255010', 'username': 'taurean1977'}, {'user_id': '1135532156162363392', 'username': 'VintageCards2'}]",
1164267644310061056,1164267644310061056,1566418012000,2019-08-21,15:06:52,CDT,763355867227967488,shingodzillabot,シン・ゴジラ 台詞bot(ネタバレ注意),,「C01、CP、P01は武蔵小杉駅上空BP1にて待機、P02から04はビル群後方、ホールディングエリア2にて待機、送れ」 西郷 - タバ戦闘団長(第1普通科連隊長) 役 ピエール瀧,[],[],[],0,0,1,[],[],https://twitter.com/ShinGodzillabot/status/1164267644310061056,False,,0,,,,,,,"[{'user_id': '763355867227967488', 'username': 'ShinGodzillabot'}]",
1164239781758406657,1164239781758406657,1566411369000,2019-08-21,13:16:09,CDT,113825775,raul_bp1,The man with no name,,He is a baaaaad man https://twitter.com/adamlefkoe/status/1163961773143339008 …,[],['https://twitter.com/adamlefkoe/status/1163961773143339008'],[],0,0,0,[],[],https://twitter.com/Raul_bp1/status/1164239781758406657,False,https://twitter.com/AdamLefkoe/status/1163961773143339008,0,,,,,,,"[{'user_id': '113825775', 'username': 'Raul_bp1'}]",
1164228250010378240,1164228250010378240,1566408619000,2019-08-21,12:30:19,CDT,2878554607,haila2a,حنين الحارثي,,#دبلومااات_هندسية_بمعهدددد_طيبة9 أريد أذناً لا تسمع، وعيناً لا ترى، بدلاً من قلب لا يحب. bp1,[],[],[],0,0,0,['#دبلومااات_هندسية_بمعهدددد_طيبة9'],[],https://twitter.com/HaiLa2a/status/1164228250010378240,False,,0,,,,,,,"[{'user_id': '2878554607', 'username': 'HaiLa2a'}]",
