id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1164347878711709696,1164347878711709696,1566437141000,2019-08-21,20:25:41,CDT,1144305354,gamusica_,ゲーム音楽BOT★,,星のカービィ スーパーデラックス BGMメドレー (27:29)  http://nico.ms/sm252321  #sm252321,[],['http://nico.ms/sm252321'],[],0,0,0,['#sm252321'],[],https://twitter.com/gaMUSICa_/status/1164347878711709696,False,,0,,,,,,,"[{'user_id': '1144305354', 'username': 'gaMUSICa_'}]",
1164207028958617600,1164207028958617600,1566403560000,2019-08-21,11:06:00,CDT,3118528963,brevantseedsca,Brevant Seeds Canada,,We are excited to be attending #ExpoChamps from August 27-29! Don't forget to get your tickets in advance  http://bit.ly/2x0O2gH  @SalonAgr #AgQc #SalonAgricole pic.twitter.com/DfIMpGvwW3,['salonagr'],['http://bit.ly/2x0O2gH'],['https://pbs.twimg.com/media/ECbKJBDXoAUJtdl.jpg'],0,0,0,"['#expochamps', '#agqc', '#salonagricole']",[],https://twitter.com/BrevantSeedsCA/status/1164207028958617600,False,,0,,,,,,,"[{'user_id': '3118528963', 'username': 'BrevantSeedsCA'}, {'user_id': '1060301440961445889', 'username': 'salonagr'}]",
1164175324285997058,1164175324285997058,1566396001000,2019-08-21,09:00:01,CDT,1160955451,pioneerseedsca,Pioneer Seeds Canada,,#ExpoChamps is coming soon! Join us Aug 27-29 to see our latest innovations. Get your tickets here:  http://spr.ly/6015EN9x5  @SalonAgr #AgQc #EastCdnAg pic.twitter.com/8ExcMs1U9S,['salonagr'],['http://spr.ly/6015EN9x5'],['https://pbs.twimg.com/media/ECf7SaYWkAEBahU.jpg'],0,0,1,"['#expochamps', '#agqc', '#eastcdnag']",[],https://twitter.com/PioneerSeedsCA/status/1164175324285997058,False,,0,,,,,,,"[{'user_id': '1160955451', 'username': 'PioneerSeedsCA'}, {'user_id': '1060301440961445889', 'username': 'salonagr'}]",
1163890781658263552,1163890781658263552,1566328161000,2019-08-20,14:09:21,CDT,18952832,designnews,Design News,,"We wish @VSI_Labs a safe & speedy journey as they launch on their 2000-mile Automated Drive West, leaving Minn tonight and arriving at the Santa Clara, CA event in an automated vehicle. We can't wait to hear about it at #DriveWorldESC Aug 27-29!   http://ubm.social/Drive  pic.twitter.com/J07fyC4l7V",['vsi_labs'],['http://ubm.social/Drive'],[],0,0,0,['#driveworldesc'],[],https://twitter.com/DesignNews/status/1163890781658263552,False,,1,,,,,,,"[{'user_id': '18952832', 'username': 'DesignNews'}, {'user_id': '737691901307064321', 'username': 'VSI_Labs'}]",
1163890696241188864,1163890696241188864,1566328140000,2019-08-20,14:09:00,CDT,735482918,informaadvmfg,Informa Adv Mfg,,"We wish @VSI_Labs a safe & speedy journey as they launch on their 2000-mile Automated Drive West, leaving Minn tonight and arriving at the Santa Clara, CA event in an automated vehicle. We can't wait to hear about it at #DriveWorldESC Aug 27-29!   http://ubm.social/Drive  pic.twitter.com/0SlkfRnSDv",['vsi_labs'],['http://ubm.social/Drive'],[],0,0,0,['#driveworldesc'],[],https://twitter.com/InformaAdvMfg/status/1163890696241188864,False,,1,,,,,,,"[{'user_id': '735482918', 'username': 'InformaAdvMfg'}, {'user_id': '737691901307064321', 'username': 'VSI_Labs'}]",
1163890612531290112,1163890612531290112,1566328120000,2019-08-20,14:08:40,CDT,17781604,esc_conf,ESC,,"We wish @VSI_Labs a safe & speedy journey as they launch on their 2000-mile Automated Drive West, leaving Minn tonight and arriving at the Santa Clara, CA event in an automated vehicle. We can't wait to hear about it at #DriveWorldESC Aug 27-29!   http://ubm.social/Drive  pic.twitter.com/m9bD6WYsL3",['vsi_labs'],['http://ubm.social/Drive'],[],0,1,1,['#driveworldesc'],[],https://twitter.com/ESC_Conf/status/1163890612531290112,False,,1,,,,,,,"[{'user_id': '17781604', 'username': 'ESC_Conf'}, {'user_id': '737691901307064321', 'username': 'VSI_Labs'}]",
1163890494994362371,1163890494994362371,1566328092000,2019-08-20,14:08:12,CDT,1057742233934413824,driveworldevent,driveworldexpo,,"We wish @VSI_Labs a safe & speedy journey as they launch on their 2000-mile Automated Drive West, leaving Minn tonight and arriving at the Santa Clara, CA event in an automated vehicle. We can't wait to hear about it at #DriveWorldESC Aug 27-29!   http://ubm.social/Drive  pic.twitter.com/nMUTnQM5iG",['vsi_labs'],['http://ubm.social/Drive'],[],1,1,4,['#driveworldesc'],[],https://twitter.com/driveworldevent/status/1163890494994362371,False,,1,,,,,,,"[{'user_id': '1057742233934413824', 'username': 'driveworldevent'}, {'user_id': '737691901307064321', 'username': 'VSI_Labs'}]",
1163111683801395200,1162811747662802944,1566142409000,2019-08-18,10:33:29,CDT,1127623914673332224,iloveseokjin23,🥀HISOKA,,"Je pense pas parce que le 11 le 26,27,29 octobre ils ont des concerts pour le speak yourself ils peuvent pas sortir un album ou revenir.. la sortie d’un album ça demande beaucoup de choses à clé et si quelques jours après ils doivent partir pour l’Arabie c’est chaud",['fiertaex'],[],[],0,0,0,[],[],https://twitter.com/iloveseokjin23/status/1163111683801395200,False,,0,,,,,,,"[{'user_id': '1127623914673332224', 'username': 'iloveseokjin23'}, {'user_id': '1141394005432897537', 'username': 'fiertaex'}]",
1162817001108037633,1162817001108037633,1566072151000,2019-08-17,15:02:31,CDT,575554871,cortevaca,Corteva Canada,,"The countdown is on! Join us at #ExpoChamps Aug 27-29. You can find us, @BrevantSeedsCA, @PioneerSeedsCA, and lots of shade at the Corteva site. Get your tickets here:  http://bit.ly/2x0O2gH  #EastCdnAg #AgQc #SalonAgricole pic.twitter.com/O6aesOOr29","['brevantseedsca', 'pioneerseedsca']",['http://bit.ly/2x0O2gH'],"['https://pbs.twimg.com/media/ECMn5NLVAAA3gta.jpg', 'https://pbs.twimg.com/media/ECMn5NMUwAEgcAc.jpg', 'https://pbs.twimg.com/media/ECMn5NMUIAI7hS2.jpg']",0,1,4,"['#expochamps', '#eastcdnag', '#agqc', '#salonagricole']",[],https://twitter.com/CortevaCA/status/1162817001108037633,False,,0,,,,,,,"[{'user_id': '575554871', 'username': 'CortevaCA'}, {'user_id': '3118528963', 'username': 'BrevantSeedsCA'}, {'user_id': '1160955451', 'username': 'PioneerSeedsCA'}]",
1162632653910237185,1162632653910237185,1566028200000,2019-08-17,02:50:00,CDT,1159563846161457152,lucylawlessnews,Lucy Lawless News,,"#Throwback - Lucy Lawless - Xena Convention 2012 - Burbank, CA, USA - January 27 - 29, 2012 _____ From Xena Zellich (Instagram):  Xenaliscious 💖 #XenaLiveActionShow #xenawarriorprincess #xena #lucylawless @RealLucyLawless #xenacon2012 ➡  https://www.instagram.com/p/B1QUabsImqT  pic.twitter.com/XD5t9nA859",['reallucylawless'],['https://www.instagram.com/p/B1QUabsImqT'],['https://pbs.twimg.com/media/ECKAO4mXoAApBMk.jpg'],0,7,24,"['#throwback', '#xenaliveactionshow', '#xenawarriorprincess', '#xena', '#lucylawless', '#xenacon2012']",[],https://twitter.com/LucyLawlessNews/status/1162632653910237185,False,,0,,,,,,,"[{'user_id': '1159563846161457152', 'username': 'LucyLawlessNews'}, {'user_id': '487412249', 'username': 'RealLucyLawless'}]",
1162493249162006528,1162493249162006528,1565994963000,2019-08-16,17:36:03,CDT,1139543526641930240,pokeralhoo,Pó,,fav se tiverem cá de 27-29 deste mes pls,[],[],[],2,0,5,[],[],https://twitter.com/pokeralhoo/status/1162493249162006528,False,,0,,,,,,,"[{'user_id': '1139543526641930240', 'username': 'pokeralhoo'}]",
1162092164836290560,1162092164836290560,1565899337000,2019-08-15,15:02:17,CDT,20821259,transform_alert,TransForm,,"Just a few spots left for @ClimateRide's Green Fondo CA, September 27-29. Ride w/us on this incredible weekend of cycling in Sonoma County! Just join ""TransForm's Carbon Crushers"" when you register for the event.    https://www.climateride.org/events/green-fondo/?_ga=2.267836238.1156480269.1565812885-1953646709.1565649446 … pic.twitter.com/cOo9FO3c5Z",['climateride'],['https://www.climateride.org/events/green-fondo/?_ga=2.267836238.1156480269.1565812885-1953646709.1565649446'],['https://pbs.twimg.com/media/ECCUqg_U0AAXwfr.jpg'],0,1,0,[],[],https://twitter.com/TransForm_Alert/status/1162092164836290560,False,,0,,,,,,,"[{'user_id': '20821259', 'username': 'TransForm_Alert'}, {'user_id': '16101256', 'username': 'ClimateRide'}]",
1161779593663008768,1161425197431500800,1565824814000,2019-08-14,18:20:14,CDT,45430783,maxine_444,MaXiNe444,,What did the bloodwork show and did they check CA 27-29 ?,['ivysueb'],[],[],1,0,0,[],[],https://twitter.com/maxine_444/status/1161779593663008768,False,,0,,,,,,,"[{'user_id': '45430783', 'username': 'maxine_444'}, {'user_id': '3298345930', 'username': 'IvysueB'}]",
1161760780381036547,1161760780381036547,1565820329000,2019-08-14,17:05:29,CDT,131258028,winpca,WorkInNonProfits.ca,,"Accountant, Market Rental Housing | MPA Society (Vancouver) | Full time - $27.29 - $29.27 | Apply by: Wed, 28 Aug 2019 -  https://workinnonprofits.ca/index?sel=vj&jid=56746&lng=E …",[],['https://workinnonprofits.ca/index?sel=vj&jid=56746&lng=E'],[],0,0,0,[],[],https://twitter.com/winpca/status/1161760780381036547,False,,0,,,,,,,"[{'user_id': '131258028', 'username': 'winpca'}]",
1161748837251334150,1161748837251334150,1565817481000,2019-08-14,16:18:01,CDT,1095639600,festivalnomadca,OntarioVisited,,"#Milton Fairgrounds Come enjoy #Royal Canadian Circus Aug 15~18 2019 @MiltonFallFair SAVE THE DATES Milton Fall Fair Sept 27-29, 2019 'Pumpkins & Scarecrows' #Truck & Tractor Pull #Livestock #Petting Zoo #Beer Tent #Car Show #Battle of the Bands #Midway #Demolition Derby pic.twitter.com/BmKQhunpIf",['miltonfallfair'],[],"['https://pbs.twimg.com/media/EB9caS5WkAAY9ly.jpg', 'https://pbs.twimg.com/media/EB9caTwW4AANu_b.jpg', 'https://pbs.twimg.com/media/EB9caTAXsAAlsK7.jpg', 'https://pbs.twimg.com/media/EB9caScXUAANEpE.jpg']",0,0,1,"['#milton', '#royal', '#truck', '#livestock', '#petting', '#beer', '#car', '#battle', '#midway', '#demolition']",[],https://twitter.com/FestivalNomadCA/status/1161748837251334150,False,,0,,,,,,,"[{'user_id': '1095639600', 'username': 'FestivalNomadCA'}, {'user_id': '296499834', 'username': 'MiltonFallFair'}]",
1161589276154482688,1161575622642143237,1565779439000,2019-08-14,05:43:59,CDT,3410435008,ahmedlancien_,AHMEDLANCIEN 🇹🇳,,Dans ce cas autant rester à l’EST au lieu d’aller s’enterrer bêtement ? Y’a des sud-am’ qui viennent en Europe à 27/29 ans et ça les empêche pas de faire une carrière en Europe et d’y briller ? D’ailleurs Jaïdi est venu en Europe tardivement (28/29 ans) ? Pourtant il y’a réussit.,"['amindridi_', 'shnaps39', 'tykra_tf', 'hac_foot', 'fcnantes']",[],[],0,0,1,[],[],https://twitter.com/Ahmedlancien_/status/1161589276154482688,False,,0,,,,,,,"[{'user_id': '3410435008', 'username': 'Ahmedlancien_'}, {'user_id': '3427658855', 'username': 'AminDridi_'}, {'user_id': '879831894422163456', 'username': 'shnaps39'}, {'user_id': '1138158328943714306', 'username': 'Tykra_TF'}, {'user_id': '449832134', 'username': 'HAC_Foot'}, {'user_id': '804263442', 'username': 'FCNantes'}]",
1161322339574996992,1161322339574996992,1565715796000,2019-08-13,12:03:16,CDT,4130689337,author_mshaver,Morgan 🔜 PAX West,,"Super excited for all the hardworking people at @gamedailybiz who are hosting a massive event at the Disneyland Hotel in Anaheim, CA from Aug 27-29! 🙌  https://connect.gamedaily.biz/  pic.twitter.com/zza5gX0LGz",['gamedailybiz'],['https://connect.gamedaily.biz/'],['https://pbs.twimg.com/media/EB3Ygv5XoAEYFgM.jpg'],0,0,2,[],[],https://twitter.com/Author_MShaver/status/1161322339574996992,False,,0,,,,,,,"[{'user_id': '4130689337', 'username': 'Author_MShaver'}, {'user_id': '768539846629429248', 'username': 'gamedailybiz'}]",
1160989616222232577,1160989616222232577,1565636469000,2019-08-12,14:01:09,CDT,1111611733452513281,crimsonxover,Crimson Crossover,,"BREAKING: Alabama has made the Top 5 for priority target 5-star PG Nimari Burnett (@NimariBurnett) from Prolific Prep (CA). Alabama joins Michigan, Louisville, Oregon and Texas Tech on that list. Burnett has a visit scheduled to Tuscaloosa for September 27-29. #RollTide pic.twitter.com/eQ4BKLWnlt",['nimariburnett'],[],['https://pbs.twimg.com/media/EByp5eJXkAAL0yn.jpg'],1,14,57,['#rolltide'],[],https://twitter.com/CrimsonXover/status/1160989616222232577,False,,0,,,,,,,"[{'user_id': '1111611733452513281', 'username': 'CrimsonXover'}, {'user_id': '739872228234436609', 'username': 'NimariBurnett'}]",
1160915173818814465,1160915173818814465,1565618720000,2019-08-12,09:05:20,CDT,2686223238,teamklemmer,Klemmer&Associates,,"Take a look at our upcoming Personal Mastery opportunities:  Westlake Village, CA - August 9-11, 2019   Regina, SK - September 6-8, 2019 Kalispell, MT - September 6-8, 2019 Eau Claire, WI - September 13-15, 2019 Norcross, GA - September 27-29, 2019  Learn   https://qoo.ly/z4q85  pic.twitter.com/mxDVp7BT02",[],['https://qoo.ly/z4q85'],['https://pbs.twimg.com/media/EBxmMd0WsAEiEyn.jpg'],0,0,1,[],[],https://twitter.com/TeamKlemmer/status/1160915173818814465,False,,0,,,,,,,"[{'user_id': '2686223238', 'username': 'TeamKlemmer'}]",
1158755138053595137,1158378292430495746,1565103728000,2019-08-06,10:02:08,CDT,189057083,ign_vorstand,IGN Vorstand,,"Komisch, @reitschuster, ich habe mir damals aus Moskau eine ganze wissenschaftliche #Bibliothek mit nach Hause gebracht... Ein #UniLehrbuch kostete i.d.R. ca. 1,20 Rbl.  (s.u. neueste, kostenlose Publikationen des MIIGAiK240,  Konferenz 27.-29. Mai 2019)  pic.twitter.com/h5ilxlobDi",['reitschuster'],[],['https://pbs.twimg.com/media/EBS5pyZXkAULXXO.jpg'],0,1,1,"['#bibliothek', '#unilehrbuch']",[],https://twitter.com/IGN_Vorstand/status/1158755138053595137,False,,0,,,,,,,"[{'user_id': '189057083', 'username': 'IGN_Vorstand'}, {'user_id': '36713389', 'username': 'reitschuster'}]",
