id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1164463290858295296,1164461539585339392,1566464657000,2019-08-22,04:04:17,CDT,996816084270551042,suusonline,SusAnne,,I don’t get this... They think keeping dogs in the house causes cancer? Or do they want to warn dogs that there’s cancer in the house so they shouldn’t live with humans? 🤷‍♀️,['labradoryuki'],[],[],1,0,1,[],[],https://twitter.com/suusonline/status/1164463290858295296,False,,0,,,,,,,"[{'user_id': '996816084270551042', 'username': 'suusonline'}, {'user_id': '901487336982237184', 'username': 'LabradorYuki'}]",
1164463263477882880,1164463263477882880,1566464651000,2019-08-22,04:04:11,CDT,270272869,olaolu005,Mother's Blessings 💝💝💝,,"Someone just said lack of sex causes cancer. What kind of talk is that, pls stop scaring me ooo, Something that I don't like. Oro koro...",[],[],[],0,0,1,[],[],https://twitter.com/Olaolu005/status/1164463263477882880,False,,0,,,,,,,"[{'user_id': '270272869', 'username': 'Olaolu005'}]",
1164462970971283459,1164462970971283459,1566464581000,2019-08-22,04:03:01,CDT,1162464152683782144,ajwilli33427125,AJ Williams,,If you eat meat you eat cancer.   You mean overt cancer doesn't add flavor? What about the consumed cancers you can't see (i.e. the vast majority)? Is this the real reason eating meat causes increased cancer incidence?  pic.twitter.com/TXFUm58Aqa,[],[],['https://pbs.twimg.com/media/ECkA5ebWsAEgbBa.jpg'],0,0,0,[],[],https://twitter.com/AJWilli33427125/status/1164462970971283459,False,,0,,,,,,,"[{'user_id': '1162464152683782144', 'username': 'AJWilli33427125'}]",
1164461203948810240,1164435774831509504,1566464160000,2019-08-22,03:56:00,CDT,1159104327606255619,ncube_mkululi,Mkululi NCUBE,,Cancer causes lack of sex,"['cypd', '4our_zw']",[],[],0,0,1,[],[],https://twitter.com/ncube_mkululi/status/1164461203948810240,False,,0,,,,,,,"[{'user_id': '1159104327606255619', 'username': 'ncube_mkululi'}, {'user_id': '428820627', 'username': 'cypd'}, {'user_id': '885530600500867072', 'username': '4our_Zw'}]",
1164460784057049088,1164460325284061185,1566464060000,2019-08-22,03:54:20,CDT,1068064691954565120,laminendiay11,🇳🇿🇸🇳 L E U M I N E 🇸🇳🇳🇿,,"5) En dehors de l'inflammation, quelques causes rares sont identifiées : parasitose (comme les oxyures), tumeurs (cancer ou plus souvent tumeur dite carcinoïde) L'appendice est un vestige de l'évolution embryonnaire et l'absence d'appendice n'a aucune conséquence pour la santé.👇",[],[],[],0,0,2,[],[],https://twitter.com/LamineNdiay11/status/1164460784057049088,False,,0,,,,,,,"[{'user_id': '1068064691954565120', 'username': 'LamineNdiay11'}]",
1164460542515453952,1164460542515453952,1566464002000,2019-08-22,03:53:22,CDT,3145126756,_hncf_,HNCF,,"We are delighted to read that the @Daily_Express  is raising awareness of the causes and symptoms of mouth cancer. Checking for the potential signs of mouth cancer is quick, easy and painless.   https://www.express.co.uk/life-style/health/1159544/mouth-warning-health-symptoms-cancer-numbness-red-white-patch …",['daily_express'],['https://www.express.co.uk/life-style/health/1159544/mouth-warning-health-symptoms-cancer-numbness-red-white-patch'],[],0,0,0,[],[],https://twitter.com/_HNCF_/status/1164460542515453952,False,,0,,,,,,,"[{'user_id': '3145126756', 'username': '_HNCF_'}, {'user_id': '17895820', 'username': 'Daily_Express'}]",
1164460345869647872,1164200318198005760,1566463955000,2019-08-22,03:52:35,CDT,828947779372318721,birdyyodas,MoonLight StarBright,,I think its was also mentioned that Russia produce asbestos! So 🍊🤡legalised it again for being used  While all other western country has it BANNED cos it causes cancer & is dangerous when its used!   But DonCon 🍊🤡 the stupid moron thinks he knows so Much better!,"['viaamorita', 'braran_mom', 'jenniferjjacobs', 'realdonaldtrump', 'potus', 'rollingstone']",[],[],0,0,0,[],[],https://twitter.com/birdyyodas/status/1164460345869647872,False,,0,,,,,,,"[{'user_id': '828947779372318721', 'username': 'birdyyodas'}, {'user_id': '721469484670722048', 'username': 'ViaAmorita'}, {'user_id': '86651992', 'username': 'braran_mom'}, {'user_id': '15433452', 'username': 'JenniferJJacobs'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '822215679726100480', 'username': 'POTUS'}, {'user_id': '14780915', 'username': 'RollingStone'}]",
1164457652564484096,1164430137074622464,1566463313000,2019-08-22,03:41:53,CDT,1132934450487144448,rizziemmanuel,Emmanuel Rizzi,,Protéger ses citoyens de quoi? Tabac et alcool toujours en tête des causes de cancers. Et pesticides toujours absents des causes...,"['genefutures', 'danielcueff', 'veillerette', 'coquelicots_']",[],[],0,0,1,[],[],https://twitter.com/RizziEmmanuel/status/1164457652564484096,False,,0,,,,,,,"[{'user_id': '1132934450487144448', 'username': 'RizziEmmanuel'}, {'user_id': '414801771', 'username': 'genefutures'}, {'user_id': '3512632289', 'username': 'DanielCueff'}, {'user_id': '103365916', 'username': 'Veillerette'}, {'user_id': '1039098468994822146', 'username': 'coquelicots_'}]",
1164453702033444865,1164453702033444865,1566462371000,2019-08-22,03:26:11,CDT,2279453359,jezicaanderson,Jessica,,#JadeTheRealityStarWhoChangedBritain cannot comprehend the stat that smoking causes 21% of cervical cancer cases!!!!!!!!!!!!!! mad,[],[],[],0,0,0,['#jadetherealitystarwhochangedbritain'],[],https://twitter.com/jezicaanderson/status/1164453702033444865,False,,0,,,,,,,"[{'user_id': '2279453359', 'username': 'jezicaanderson'}]",
1164442003918270464,1164442003918270464,1566459582000,2019-08-22,02:39:42,CDT,822411778068017152,mush_kymoh,local man🇰🇪,,Causes za cancer zenye tunaambiwa uku mtaani walai no one is save. Ati ata dryspell inaleta cancer na yangu ishakua droughtspell. Local man cannot can😭😭😭😭😭  pic.twitter.com/vV8rqYFTOW,[],[],['https://pbs.twimg.com/media/ECjtxndXYAAK0RL.jpg'],0,0,1,[],[],https://twitter.com/mush_kymoh/status/1164442003918270464,False,,0,,,,,,,"[{'user_id': '822411778068017152', 'username': 'mush_kymoh'}]",
