id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1164462763806097409,1164462763806097409,1566464532000,2019-08-22,04:02:12,CDT,574581640,julieclane,Julie Lane,,Dial up some healthy skepticism and get to work. The hive mind... More for Cancer  http://bit.ly/yk3b9m ,[],['http://bit.ly/yk3b9m'],[],0,0,0,[],[],https://twitter.com/julieclane/status/1164462763806097409,False,,0,,,,,,,"[{'user_id': '574581640', 'username': 'julieclane'}]",
1164462761763573760,1163825477242376192,1566464531000,2019-08-22,04:02:11,CDT,262286476,steadie1,paul stead,,Brilliant that Doctor certainly made that little boy's wish come true hope he can get rid of the cancer as well,['akkitwts'],[],[],0,0,0,[],[],https://twitter.com/steadie1/status/1164462761763573760,False,,0,,,,,,,"[{'user_id': '262286476', 'username': 'steadie1'}, {'user_id': '1108020329643823109', 'username': 'akkitwts'}]",
1164462761121734661,1164462761121734661,1566464531000,2019-08-22,04:02:11,CDT,397415022,_brooklyn_bae_,Maze,,Dial up some healthy skepticism and get to work. The hive mind... More for Cancer  http://bit.ly/yk3b9m ,[],['http://bit.ly/yk3b9m'],[],0,0,0,[],[],https://twitter.com/_Brooklyn_Bae_/status/1164462761121734661,False,,0,,,,,,,"[{'user_id': '397415022', 'username': '_Brooklyn_Bae_'}]",
1164462759074881536,1164462759074881536,1566464531000,2019-08-22,04:02:11,CDT,2176079327,sarahmarie_r,Sarah,,Dial up some healthy skepticism and get to work. The hive mind... More for Cancer  http://bit.ly/yk3b9m ,[],['http://bit.ly/yk3b9m'],[],0,0,0,[],[],https://twitter.com/sarahmarie_r/status/1164462759074881536,False,,0,,,,,,,"[{'user_id': '2176079327', 'username': 'sarahmarie_r'}]",
1164462754440155137,1164462754440155137,1566464529000,2019-08-22,04:02:09,CDT,35888323,diditonem_jones,IG: jones_dgaf,,Dial up some healthy skepticism and get to work. The hive mind... More for Cancer  http://bit.ly/yk3b9m ,[],['http://bit.ly/yk3b9m'],[],0,0,0,[],[],https://twitter.com/diDitOnEm_jOnes/status/1164462754440155137,False,,0,,,,,,,"[{'user_id': '35888323', 'username': 'diDitOnEm_jOnes'}]",
1164462753190301696,1164462753190301696,1566464529000,2019-08-22,04:02:09,CDT,134903961,prettythic_nbad,★ツ★,,Dial up some healthy skepticism and get to work. The hive mind... More for Cancer  http://bit.ly/yk3b9m ,[],['http://bit.ly/yk3b9m'],[],0,0,0,[],[],https://twitter.com/prettythic_nbad/status/1164462753190301696,False,,0,,,,,,,"[{'user_id': '134903961', 'username': 'prettythic_nbad'}]",
1164462751303053314,1164300682171752449,1566464529000,2019-08-22,04:02:09,CDT,1054788517228937217,chamexeonsoul,coney,,love that for my favourite cancer as well 🥺 xx,['poisonivyayo'],[],[],0,0,0,[],[],https://twitter.com/chamexeonsoul/status/1164462751303053314,False,,0,,,,,,,"[{'user_id': '1054788517228937217', 'username': 'chamexeonsoul'}, {'user_id': '413206705', 'username': 'poisonivyayo'}]",
1164462751109935104,1164462751109935104,1566464529000,2019-08-22,04:02:09,CDT,2287121952,liv_hehe,Liv,,Dial up some healthy skepticism and get to work. The hive mind... More for Cancer  http://bit.ly/yk3b9m ,[],['http://bit.ly/yk3b9m'],[],0,0,0,[],[],https://twitter.com/liv_hehe/status/1164462751109935104,False,,0,,,,,,,"[{'user_id': '2287121952', 'username': 'liv_hehe'}]",
1164462750065557504,1164462750065557504,1566464528000,2019-08-22,04:02:08,CDT,242010345,mistressathena2,Mistress Athena,,Dial up some healthy skepticism and get to work. The hive mind... More for Cancer  http://bit.ly/yk3b9m ,[],['http://bit.ly/yk3b9m'],[],0,0,0,[],[],https://twitter.com/MistressAthena2/status/1164462750065557504,False,,0,,,,,,,"[{'user_id': '242010345', 'username': 'MistressAthena2'}]",
1164462748740149249,1164462748740149249,1566464528000,2019-08-22,04:02:08,CDT,536585193,aliceirelanhill,Alice Elizabeth,,Dial up some healthy skepticism and get to work. The hive mind... More for Cancer  http://bit.ly/yk3b9m ,[],['http://bit.ly/yk3b9m'],[],0,0,0,[],[],https://twitter.com/AliceIrelanHill/status/1164462748740149249,False,,0,,,,,,,"[{'user_id': '536585193', 'username': 'AliceIrelanHill'}]",
1164462745967710209,1164462745967710209,1566464527000,2019-08-22,04:02:07,CDT,1105341400843997184,_snicker_d00dl3,Fatty McFatFat,,Dial up some healthy skepticism and get to work. The hive mind... More for Cancer  http://bit.ly/yk3b9m ,[],['http://bit.ly/yk3b9m'],[],0,0,0,[],[],https://twitter.com/_snicker_d00dl3/status/1164462745967710209,False,,0,,,,,,,"[{'user_id': '1105341400843997184', 'username': '_snicker_d00dl3'}]",
1164462741836328960,1164462741836328960,1566464526000,2019-08-22,04:02:06,CDT,455325738,charliestone55,Charlie Stone,,"Why a Promising, Potent Cancer Therapy Isn't Used in the US  http://dlvr.it/RBgLYD  pic.twitter.com/XqKhodiYtW",[],['http://dlvr.it/RBgLYD'],['https://pbs.twimg.com/media/ECkAsP2U8AEb_3-.jpg'],0,0,0,[],[],https://twitter.com/CharlieStone55/status/1164462741836328960,False,,0,,,,,,,"[{'user_id': '455325738', 'username': 'CharlieStone55'}]",
1164462741693747200,1164462741693747200,1566464526000,2019-08-22,04:02:06,CDT,486104201,flyinonsaturn,King Messiah 2-15-19,,Dial up some healthy skepticism and get to work. The hive mind... More for Cancer  http://bit.ly/yk3b9m ,[],['http://bit.ly/yk3b9m'],[],0,0,0,[],[],https://twitter.com/flyinonsaturn/status/1164462741693747200,False,,0,,,,,,,"[{'user_id': '486104201', 'username': 'flyinonsaturn'}]",
1164462736756969473,1164462736756969473,1566464525000,2019-08-22,04:02:05,CDT,15602390,sokkamum,Carin Schaab,,Dial up some healthy skepticism and get to work. The hive mind... More for Cancer  http://bit.ly/yk3b9m ,[],['http://bit.ly/yk3b9m'],[],0,0,0,[],[],https://twitter.com/sokkamum/status/1164462736756969473,False,,0,,,,,,,"[{'user_id': '15602390', 'username': 'sokkamum'}]",
1164462735196925954,1164462735196925954,1566464525000,2019-08-22,04:02:05,CDT,27809290,estebanics,saywhat,,cancers pretty serious,[],[],[],0,0,0,[],[],https://twitter.com/estebanics/status/1164462735196925954,False,,0,,,,,,,"[{'user_id': '27809290', 'username': 'estebanics'}]",
1164462731921166336,1164462731921166336,1566464524000,2019-08-22,04:02:04,CDT,250448959,prettymama_jazz,Jazzmene,,Dial up some healthy skepticism and get to work. The hive mind... More for Cancer  http://bit.ly/yk3b9m ,[],['http://bit.ly/yk3b9m'],[],0,0,0,[],[],https://twitter.com/PrettyMaMA_Jazz/status/1164462731921166336,False,,0,,,,,,,"[{'user_id': '250448959', 'username': 'PrettyMaMA_Jazz'}]",
1164462731644116992,1164462731644116992,1566464524000,2019-08-22,04:02:04,CDT,41543940,lovelyxchick94,Neshaa,,Dial up some healthy skepticism and get to work. The hive mind... More for Cancer  http://bit.ly/yk3b9m ,[],['http://bit.ly/yk3b9m'],[],0,0,0,[],[],https://twitter.com/LovelyXChick94/status/1164462731644116992,False,,0,,,,,,,"[{'user_id': '41543940', 'username': 'LovelyXChick94'}]",
1164462728729243649,1164462728729243649,1566464523000,2019-08-22,04:02:03,CDT,1063790014109167616,devinfield2,North bAyby,,"Im going to be honest i think it may be cancer cause i have shortness of breat, diziness, chest plains, cough, and i wasnt able to walk for a week until i got high.",[],[],[],0,0,0,[],[],https://twitter.com/DevinField2/status/1164462728729243649,False,,0,,,,,,,"[{'user_id': '1063790014109167616', 'username': 'DevinField2'}]",
1164462728188063745,1164462728188063745,1566464523000,2019-08-22,04:02:03,CDT,216107446,cocokilroy,coco,,Dial up some healthy skepticism and get to work. The hive mind... More for Cancer  http://bit.ly/yk3b9m ,[],['http://bit.ly/yk3b9m'],[],0,0,0,[],[],https://twitter.com/cocokilroy/status/1164462728188063745,False,,0,,,,,,,"[{'user_id': '216107446', 'username': 'cocokilroy'}]",
1164462727672107008,1164462727672107008,1566464523000,2019-08-22,04:02:03,CDT,352478793,sandrahilario_,Sandra Hilário,,Dial up some healthy skepticism and get to work. The hive mind... More for Cancer  http://bit.ly/yk3b9m ,[],['http://bit.ly/yk3b9m'],[],0,0,0,[],[],https://twitter.com/sandrahilario_/status/1164462727672107008,False,,0,,,,,,,"[{'user_id': '352478793', 'username': 'sandrahilario_'}]",
1164462727164678145,1164462727164678145,1566464523000,2019-08-22,04:02:03,CDT,842286348,seth_apt,Seth Apt,,Dial up some healthy skepticism and get to work. The hive mind... More for Cancer  http://bit.ly/yk3b9m ,[],['http://bit.ly/yk3b9m'],[],0,0,0,[],[],https://twitter.com/seth_apt/status/1164462727164678145,False,,0,,,,,,,"[{'user_id': '842286348', 'username': 'seth_apt'}]",
1164462723226357760,1164462723226357760,1566464522000,2019-08-22,04:02:02,CDT,1469857608,livhpartners,Liv Health Partners,,"Meet our partners - @LivUni is widely recognised for excellence in biomedical research with expertise in key research the areas of cancer, Infection, Personalised Medicines, Drug Safety Science and Medicines for Children.   Find out more -  http://bit.ly/2KoT3al  pic.twitter.com/FjUuBgEZYm",['livuni'],['http://bit.ly/2KoT3al'],['https://pbs.twimg.com/media/ECkArD-WsAAXi3F.jpg'],0,0,0,[],[],https://twitter.com/LivHPartners/status/1164462723226357760,False,,0,,,,,,,"[{'user_id': '1469857608', 'username': 'LivHPartners'}, {'user_id': '18903739', 'username': 'LivUni'}]",
1164462722781569024,1164462722781569024,1566464522000,2019-08-22,04:02:02,CDT,473042917,_alyshiaabarbie,alyshia💕,,Dial up some healthy skepticism and get to work. The hive mind... More for Cancer  http://bit.ly/yk3b9m ,[],['http://bit.ly/yk3b9m'],[],0,0,0,[],[],https://twitter.com/_AlyshiaaBarbie/status/1164462722781569024,False,,0,,,,,,,"[{'user_id': '473042917', 'username': '_AlyshiaaBarbie'}]",
1164462720265216000,1164462720265216000,1566464521000,2019-08-22,04:02:01,CDT,1094686465,izasascientific,Izasa Scientific,,"¿Sabes en qué consiste la #inmunoterapia #antitumoral? Hemos estado con el Dr. Manel Juan Otero, responsable de la Plataforma de Inmunoterapia. Nos ha respondido a esto y a mucho más  #Cancer #inmunología Ver vídeo:  https://buff.ly/2KhiD0C  pic.twitter.com/JXPGxBV726",[],['https://buff.ly/2KhiD0C'],['https://pbs.twimg.com/media/ECkArF6WsAECPAq.jpg'],0,0,0,"['#inmunoterapia', '#antitumoral', '#cancer', '#inmunología']",[],https://twitter.com/IzasaScientific/status/1164462720265216000,False,,0,,,,,,,"[{'user_id': '1094686465', 'username': 'IzasaScientific'}]",
1164462719019315200,1164462719019315200,1566464521000,2019-08-22,04:02:01,CDT,817326060,junerosepearl,Kelly Cyr,,Dial up some healthy skepticism and get to work. The hive mind... More for Cancer  http://bit.ly/yk3b9m ,[],['http://bit.ly/yk3b9m'],[],0,0,0,[],[],https://twitter.com/JuneRosePearl/status/1164462719019315200,False,,0,,,,,,,"[{'user_id': '817326060', 'username': 'JuneRosePearl'}]",
1164462718155251714,1164462718155251714,1566464521000,2019-08-22,04:02:01,CDT,484917584,aalexggrant,alex grant,,Dial up some healthy skepticism and get to work. The hive mind... More for Cancer  http://bit.ly/yk3b9m ,[],['http://bit.ly/yk3b9m'],[],0,0,0,[],[],https://twitter.com/aalexggrant/status/1164462718155251714,False,,0,,,,,,,"[{'user_id': '484917584', 'username': 'aalexggrant'}]",
1164462712337756161,1164457268718387200,1566464519000,2019-08-22,04:01:59,CDT,53292926,juliemccrossin,Julie McCrossin AM,,Let’s Talk About Head & Neck Cancer in Melbourne  https://www.eventbrite.com.au/e/lets-talk-about-head-and-neck-cancer-tickets-65503471647 …,[],['https://www.eventbrite.com.au/e/lets-talk-about-head-and-neck-cancer-tickets-65503471647'],[],0,0,0,[],[],https://twitter.com/JulieMcCrossin/status/1164462712337756161,False,,0,,,,,,,"[{'user_id': '53292926', 'username': 'JulieMcCrossin'}]",
