id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1101201757638717442,1100927105892679680,1551381933000,2019-02-28,13:25:33,CDT,1063154155840290819,foodscibabe,Food Science Babe,,"That one 🙄 This study was performed in a laboratory setting with cells. The cells are immortal T47D breast cancer cells derived from an infiltrating ductal carcinoma of the breast. Therefore, this study was performed on already cancerous cells and did not cause breast cancer.","['dsteketee', 'lennypowers7', 'thefoodbabe']",[],[],1,0,1,[],[],https://twitter.com/foodscibabe/status/1101201757638717442,False,,0,,,,,,,"[{'user_id': '1063154155840290819', 'username': 'foodscibabe'}, {'user_id': '34627320', 'username': 'dsteketee'}, {'user_id': '715519258109673472', 'username': 'lennypowers7'}, {'user_id': '162890663', 'username': 'thefoodbabe'}]",
1054055602446491648,1054051654864011264,1540141413000,2018-10-21,12:03:33,CDT,4688628625,gabby_webby,Gabby,,"Invasive ductal carcinoma (IDC), also known as infiltrating ductal carcinoma, is cancer that began growing in a milk duct and has invaded the fibrous or fatty tissue of the breast outside of the duct.  —  mao nang ga fresh milk na ka rn",['clrdnsrmnto'],[],[],1,0,0,[],[],https://twitter.com/gabby_webby/status/1054055602446491648,False,,0,,,,,,,"[{'user_id': '4688628625', 'username': 'gabby_webby'}, {'user_id': '4344336672', 'username': 'clrdnsrmnto'}]",
976170281017503744,976170281017503744,1521572106000,2018-03-20,13:55:06,CDT,21704809,capath,Ca Pathologists,,Prognostic significance of tumor-infiltrating lymphocytes in ductal carcinoma in situ of the breast  http://ow.ly/xYUL30j3M3F  #Pathologists pic.twitter.com/OYJoJigYEW,[],['http://ow.ly/xYUL30j3M3F'],['https://pbs.twimg.com/media/DYwNsjNWkAAwBM6.jpg'],0,1,1,['#pathologists'],[],https://twitter.com/capath/status/976170281017503744,False,,0,,,,,,,"[{'user_id': '21704809', 'username': 'capath'}]",
976144387787784192,976144387787784192,1521565932000,2018-03-20,12:12:12,CDT,808681426136760321,histologynews,Histology News,,Prognostic significance of tumor-infiltrating lymphocytes in ductal carcinoma in situ of the breast  http://dlvr.it/QLlkTr  #pathology pic.twitter.com/kB4r7oRgSi,[],['http://dlvr.it/QLlkTr'],['https://pbs.twimg.com/media/DYv2JT6VQAAUJbD.jpg'],0,0,0,['#pathology'],[],https://twitter.com/HistologyNews/status/976144387787784192,False,,0,,,,,,,"[{'user_id': '808681426136760321', 'username': 'HistologyNews'}]",
968126049241444352,968126049241444352,1519654211000,2018-02-26,08:10:11,CDT,21704809,capath,Ca Pathologists,,Tumor-infiltrating lymphocytes and ductal carcinoma in situ of the breast: friends or foes?  http://ow.ly/ea1x30iyUnC  #pathologists pic.twitter.com/WMVMlHeoRU,[],['http://ow.ly/ea1x30iyUnC'],['https://pbs.twimg.com/media/DW95gseW0AE2v34.jpg'],0,8,6,['#pathologists'],[],https://twitter.com/capath/status/968126049241444352,False,,0,,,,,,,"[{'user_id': '21704809', 'username': 'capath'}]",
856317796288004096,856317796288004096,1492997046000,2017-04-23,20:24:06,CDT,1364475780,g_orl,ORL Ιατρική Medicine,,Prognostic significance of infiltrating immune cell subtypes in invasive ductal carcinoma of the breast.  https://cancersfakianakis.wordpress.com/2017/04/24/prognostic-significance-of-infiltrating-immune-cell-subtypes-in-invasive-ductal-carcinoma-of-the-breast …,[],['https://cancersfakianakis.wordpress.com/2017/04/24/prognostic-significance-of-infiltrating-immune-cell-subtypes-in-invasive-ductal-carcinoma-of-the-breast'],[],0,0,0,[],[],https://twitter.com/g_orl/status/856317796288004096,False,,0,,,,,,,"[{'user_id': '1364475780', 'username': 'g_orl'}]",
784063223016394752,784063223016394752,1475770214000,2016-10-06,11:10:14,CDT,158457325,propath,ProPath,,UNDER THE #MICROSCOPE: Infiltrating ductal #carcinoma of the breast. What #ProPath #Pathology can detect & diagnose.  http://ow.ly/Xvx9304VhAi ,[],['http://ow.ly/Xvx9304VhAi'],[],0,0,0,"['#microscope', '#carcinoma', '#propath', '#pathology']",[],https://twitter.com/ProPath/status/784063223016394752,False,,0,,,,,,,"[{'user_id': '158457325', 'username': 'ProPath'}]",
771379709091414017,771379709091414017,1472746228000,2016-09-01,11:10:28,CDT,158457325,propath,ProPath,,UNDER THE #MICROSCOPE: Infiltrating ductal #carcinoma of the breast. What #ProPath #Pathology can detect & diagnose.  http://ow.ly/w2nD303NoQQ ,[],['http://ow.ly/w2nD303NoQQ'],[],0,1,0,"['#microscope', '#carcinoma', '#propath', '#pathology']",[],https://twitter.com/ProPath/status/771379709091414017,False,,0,,,,,,,"[{'user_id': '158457325', 'username': 'ProPath'}]",
582585873784389632,582585873784389632,1427734270000,2015-03-30,11:51:10,CDT,2759136030,pradip_np,pradip,,Breast cancer (Infiltrating ductal carcinoma of the breast) assayed with anti HER-2 (ErbB2) antibody.  pic.twitter.com/gQrTG6t5KX,[],[],['https://pbs.twimg.com/media/CBXCw2PUkAA0wb9.jpg'],0,0,0,[],[],https://twitter.com/pradip_np/status/582585873784389632,False,,0,,,,,,,"[{'user_id': '2759136030', 'username': 'pradip_np'}]",
504188092060676096,504188092060676096,1409042783000,2014-08-26,03:46:23,CDT,2754254275,haadrn_review,HAAD Review,,"Infiltrating ductal carcinoma of the breast usually presents as a fixed, irregularly shaped mass. #haadreview",[],[],[],0,0,0,['#haadreview'],[],https://twitter.com/haadRN_review/status/504188092060676096,False,,0,,,,,,,"[{'user_id': '2754254275', 'username': 'haadRN_review'}]",
