id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1164357307284672514,1164257541699723264,1566439389000,2019-08-21,21:03:09,CDT,610515924,rupeshgundawar,Rupesh Gundawar,,"Solid intraductal carcinoma,  myoepithelioma layer in periphery",['umichpath'],[],[],0,0,2,[],[],https://twitter.com/rupeshgundawar/status/1164357307284672514,False,,0,,,,,,,"[{'user_id': '610515924', 'username': 'rupeshgundawar'}, {'user_id': '841360138749513729', 'username': 'UMichPath'}]",
1164341135042646018,1164257541699723264,1566435533000,2019-08-21,19:58:53,CDT,736429169635143680,trupti2410,Trupti,,"Solid papillary carcinoma , myoepithelial cells may be retained surrounding the ducts but absent within the intralesional papillae. This looks like an intraductal pattern",['umichpath'],[],[],0,0,2,[],[],https://twitter.com/Trupti2410/status/1164341135042646018,False,,0,,,,,,,"[{'user_id': '736429169635143680', 'username': 'Trupti2410'}, {'user_id': '841360138749513729', 'username': 'UMichPath'}]",
1163814194954686466,1163814194954686466,1566309901000,2019-08-20,09:05:01,CDT,41380057,nciprevention,NCI Prevention,,"There are many breast conditions that can be found when you're being screened for breast cancer: adenosis, atypical hyperplasias, cysts, duct ectasia, fibrocystic changes, carcinoma in situ, intraductal papilloma - Most are benign.  More info:  https://buff.ly/2KhJn3l  pic.twitter.com/1oh4d1ZBt9",[],['https://buff.ly/2KhJn3l'],['https://pbs.twimg.com/media/ECay15vU8AEh7ei.png'],0,2,5,[],[],https://twitter.com/NCIprevention/status/1163814194954686466,False,,0,,,,,,,"[{'user_id': '41380057', 'username': 'NCIprevention'}]",
1163775445256429570,1163775445256429570,1566300662000,2019-08-20,06:31:02,CDT,320872403,ajspjournal,Surgical Pathology,,Current Issue: Molecular Profiling of Salivary Gland Intraductal Carcinoma Revealed a Subset of Tumors Harboring NCOA4-RET and Novel TRIM27-RET Fusions: A Report of 17 cases  http://dlvr.it/RBXxgb ,[],['http://dlvr.it/RBXxgb'],[],0,0,0,[],[],https://twitter.com/AJSPjournal/status/1163775445256429570,False,,0,,,,,,,"[{'user_id': '320872403', 'username': 'AJSPjournal'}]",
1163555376450551811,1163555376450551811,1566248194000,2019-08-19,15:56:34,CDT,42061285,urologiaperuana,Dr. Susanibar,,Improved Prostate Cancer Biopsy Grading by Incorporation of Invasive Cribriform and Intraductal Carcinoma in the 2014 Grade Groups  http://dlvr.it/RBWFPQ  pic.twitter.com/70LCcyXvj7,[],['http://dlvr.it/RBWFPQ'],['https://pbs.twimg.com/media/ECXHcuQU4AAWVdz.jpg'],0,0,0,[],[],https://twitter.com/urologiaperuana/status/1163555376450551811,False,,0,,,,,,,"[{'user_id': '42061285', 'username': 'urologiaperuana'}]",
1162108095868416000,1162108095868416000,1565903135000,2019-08-15,16:05:35,CDT,56153038,histopathology,histopathology 🔬,,Atypical intraductal proliferation detected in prostate needle biopsy is a marker of unsampled intraductal carcinoma and other adverse pathological features: a prospective clinicopathological study of 62 cases with emphasis on pathological outcomes  http://bit.ly/2IP0FlT ,[],['http://bit.ly/2IP0FlT'],[],0,0,1,[],[],https://twitter.com/histopathology/status/1162108095868416000,False,,0,,,,,,,"[{'user_id': '56153038', 'username': 'histopathology'}]",
1160960899433127937,1160960899433127937,1565629622000,2019-08-12,12:07:02,CDT,1527281202,womens_womens,Women's Health News,,DFS and QOL After Modified Radical Mastectomy vs. Expanded Mckissock Surgery for EIC of the Breast: Extensive intraductal carcinoma of the breast refers to a type of breast cancer in which 25 of ductal carcinoma in situ is present in invasive tumors and…  http://bioportfol.io/RB6GvS ,[],['http://bioportfol.io/RB6GvS'],[],0,1,0,[],[],https://twitter.com/womens_womens/status/1160960899433127937,False,,0,,,,,,,"[{'user_id': '1527281202', 'username': 'womens_womens'}]",
1160212995269713921,1160212995269713921,1565451308000,2019-08-10,10:35:08,CDT,922920568697098241,humanpathcr,HumPath Case Reports,,Undifferentiated carcinoma with osteoclast-like giant cells of the pancreas arising from an intraductal papillary mucinous neoplasm #GIPath  http://ow.ly/4KUJ50v04JG  @NRiddleMD @ALBoothMD @RaulSGonzalezMD @Sara_Jiang @Chucktowndoc pic.twitter.com/H7vZfMz5pT,"['nriddlemd', 'alboothmd', 'raulsgonzalezmd', 'sara_jiang', 'chucktowndoc']",['http://ow.ly/4KUJ50v04JG'],"['https://pbs.twimg.com/media/EBnnkdBXoAIoTgo.jpg', 'https://pbs.twimg.com/media/EBnnkeGX4AI9CzH.jpg', 'https://pbs.twimg.com/media/EBnnkd2W4AAnEIb.jpg']",0,12,18,['#gipath'],[],https://twitter.com/HumanPathCR/status/1160212995269713921,False,,0,,,,,,,"[{'user_id': '922920568697098241', 'username': 'HumanPathCR'}, {'user_id': '1364623796', 'username': 'NRiddleMD'}, {'user_id': '315138828', 'username': 'ALBoothMD'}, {'user_id': '925827610143346689', 'username': 'RaulSGonzalezMD'}, {'user_id': '358196511', 'username': 'Sara_Jiang'}, {'user_id': '619562974', 'username': 'Chucktowndoc'}]",
1159904399340310533,1159872113202860033,1565377733000,2019-08-09,14:08:53,CDT,4839488367,mahoureih,"M Adib Houreih, M.D, DipRCPath",,Looks like intraductal lesion. I think Papillomatosis or solid papillary carcinoma as many colleagues have mentioned.,"['drrolaali', 'mbbs_pathology', 'jennpincus', 'm_isamarte', 'kriyer68', 'pathologysayah', 'theisbp', 'tralimiguel', 'nusrat_xahra', 'drgeeone', 'ariella8', 'drmarkong', 'kis_lorand', 'luishcruzc', 'preethijaison', 'ayshamubeen86']",[],[],0,0,4,[],[],https://twitter.com/MAHoureih/status/1159904399340310533,False,,0,,,,,,,"[{'user_id': '4839488367', 'username': 'MAHoureih'}, {'user_id': '1106202793948401664', 'username': 'DrRolaAli'}, {'user_id': '998172921393766400', 'username': 'MBBS_Pathology'}, {'user_id': '930523199389032449', 'username': 'jennpincus'}, {'user_id': '422350875', 'username': 'm_isamarte'}, {'user_id': '2877458154', 'username': 'kriyer68'}, {'user_id': '782159745314467840', 'username': 'PathologySayah'}, {'user_id': '1107999732717309952', 'username': 'TheISBP'}, {'user_id': '3292390682', 'username': 'tralimiguel'}, {'user_id': '47884338', 'username': 'nusrat_xahra'}, {'user_id': '367902955', 'username': 'DrGeeONE'}, {'user_id': '216285345', 'username': 'ariella8'}, {'user_id': '1070786647392993280', 'username': 'DrMarkOng'}, {'user_id': '992844732270292992', 'username': 'kis_lorand'}, {'user_id': '2811464454', 'username': 'luishcruzc'}, {'user_id': '4208526192', 'username': 'preethijaison'}, {'user_id': '874798353812512768', 'username': 'AyshaMubeen86'}]",
1158688188652818433,1158688188652818433,1565087766000,2019-08-06,05:36:06,CDT,4839488367,mahoureih,"M Adib Houreih, M.D, DipRCPath",,Great thread in #GUpath with analysis of defining criteria of HGPIN vs Atypical Intraductal Proliferation vs Intraductal Carcinoma by @rovingatuscap https://twitter.com/rovingatuscap/status/1156607043098284032 …,['rovingatuscap'],['https://twitter.com/rovingatuscap/status/1156607043098284032'],[],0,4,10,['#gupath'],[],https://twitter.com/MAHoureih/status/1158688188652818433,False,https://twitter.com/rovingatuscap/status/1156607043098284032,0,,,,,,,"[{'user_id': '4839488367', 'username': 'MAHoureih'}, {'user_id': '498153479', 'username': 'rovingatuscap'}]",
