id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1164463109895008257,1164449400162279424,1566464614000,2019-08-22,04:03:34,CDT,913773531179175936,topyjoey,Joe,,"😂😂😂😂 Lmaooo! He calculated a possibility of 21:3 full time score, couldn't take the risk of a lifetime of embarrassment 😂😂",['kvng_john_'],[],[],0,0,0,[],[],https://twitter.com/topyjoey/status/1164463109895008257,False,,0,,,,,,,"[{'user_id': '913773531179175936', 'username': 'topyjoey'}, {'user_id': '965163262827548672', 'username': 'Kvng_John_'}]",
1164454701443813376,1164259436304773120,1566462610000,2019-08-22,03:30:10,CDT,22767612,ttittifilarious,Tittifilarious,,De La Soul just left Tommy Boy after 30yrs & asking people not to buy their back catalogue. Does seem wrong that something agreed to as a kid lasts a lifetime - although I get the risk/investment argument.,"['riaz1982', '_sanholo_']",[],[],1,0,0,[],[],https://twitter.com/ttittifilarious/status/1164454701443813376,False,,0,,,,,,,"[{'user_id': '22767612', 'username': 'ttittifilarious'}, {'user_id': '146963426', 'username': 'Riaz1982'}, {'user_id': '877169288238567425', 'username': '_SanHolo_'}]",
1164435825553104896,1164435825553104896,1566458109000,2019-08-22,02:15:09,CDT,1126994278889152512,philhillman1,Phil Hillman,,"Yes indeed. I have never, in my lifetime, ever witnessed a deal that is such utter uncommercial lunacy and puts our nation at risk in a manner that borders on criminal.  https://twitter.com/PetefromHayNSW/status/1164435213692198913 …",[],['https://twitter.com/PetefromHayNSW/status/1164435213692198913'],[],0,1,1,[],[],https://twitter.com/PhilHillman1/status/1164435825553104896,False,https://twitter.com/PetefromHayNSW/status/1164435213692198913,0,,,,,,,"[{'user_id': '1126994278889152512', 'username': 'PhilHillman1'}]",
1164417501066715136,1164414616908120064,1566453740000,2019-08-22,01:02:20,CDT,2811559122,cnnphilippines,CNN Philippines,,"DOH on the importance of a risk management plan: During the lifetime of the health product, kailangan mong i-monitor the safety and efficacy of the product.",[],[],[],1,0,0,[],[],https://twitter.com/cnnphilippines/status/1164417501066715136,False,,0,,,,,,,"[{'user_id': '2811559122', 'username': 'cnnphilippines'}]",
1164402495923412992,1164402495923412992,1566450163000,2019-08-22,00:02:43,CDT,898558564452761600,brokebackboys,JACINDA ㋛,,"anyways, im a bit traumatized rn and refuse to be alone rn.   i legit thought i was living a real moment of a lifetime movie. my life was seriously flashing right before my eyes. i was literally prepared to risk my life for my mom and sisters if it ever came down to it.  https://twitter.com/brokebackboys/status/1164395966432256000 …",[],['https://twitter.com/brokebackboys/status/1164395966432256000'],[],1,0,10,[],[],https://twitter.com/brokebackboys/status/1164402495923412992,False,https://twitter.com/brokebackboys/status/1164395966432256000,0,,,,,,,"[{'user_id': '898558564452761600', 'username': 'brokebackboys'}]",
1164398037453508608,1164398037453508608,1566449100000,2019-08-21,23:45:00,CDT,4333893622,cassidyspringf2,Cassidy Springfield,,"Love knows no boundaries, no limits...needs no translation IN BETWEEN What would you be willing to risk for the love of a lifetime? Amazon #kindlebook & ppbk➤  http://smarturl.it/IBDB  Book one of the 2-part DANCING BAREFOOT SERIES #NewAdult #RomanceReaders pic.twitter.com/9r2JxSIHI3",[],['http://smarturl.it/IBDB'],['https://pbs.twimg.com/media/EChGg0wUIAAzmbh.jpg'],0,3,1,"['#kindlebook', '#newadult', '#romancereaders']",[],https://twitter.com/CassidySpringf2/status/1164398037453508608,False,,0,,,,,,,"[{'user_id': '4333893622', 'username': 'CassidySpringf2'}]",
1164353002213466113,1163558764848525312,1566438363000,2019-08-21,20:46:03,CDT,1020264678235287552,mtwildflower361,mtwildflower36,,PP is not the provider of “choice” for anyone. They provide services and products while concealing  facts about their risks and lifetime ramifications. Their predatory practices conceal the crimes of human traffickers and victimize girls and young women at their expense.,"['rightsfest', 'amyloukingery', 'repcummings']",[],[],1,0,0,[],[],https://twitter.com/mtwildflower361/status/1164353002213466113,False,,0,,,,,,,"[{'user_id': '1020264678235287552', 'username': 'mtwildflower361'}, {'user_id': '849785595618570241', 'username': 'RightsFest'}, {'user_id': '49190063', 'username': 'Amyloukingery'}, {'user_id': '787373558', 'username': 'RepCummings'}]",
1164312728246185984,1164312728246185984,1566428760000,2019-08-21,18:06:00,CDT,749176733627101184,juwanalouhwis,Juwanable 💜,,"Wag niyong liligawan/kayong papaligaw just because of the thing called 'sparks'. It is mostly part of your emotions perhaps hormones. Don't risk a lifetime commitment just because of that petty reason of ""may sparks kami."" That is very pathetic. Oo marupok ka pero ilugar mo.",[],[],[],1,0,0,[],[],https://twitter.com/juwanalouHwis/status/1164312728246185984,False,,0,,,,,,,"[{'user_id': '749176733627101184', 'username': 'juwanalouHwis'}]",
1164311830635769856,1164311830635769856,1566428546000,2019-08-21,18:02:26,CDT,1444284248,zvheknil,athena,,nanginginig ako sa galit. this kind of case deserves lifetime in prison WITHOUT parole. the lives of women would be at risk for releasing this kind of monster pero because of connections wala lang yun? rot in hell.  https://twitter.com/jaykaytiel/status/1164098507021549569 …,[],['https://twitter.com/jaykaytiel/status/1164098507021549569'],[],0,0,7,[],[],https://twitter.com/ZvhEkNiL/status/1164311830635769856,False,https://twitter.com/jaykaytiel/status/1164098507021549569,0,,,,,,,"[{'user_id': '1444284248', 'username': 'ZvhEkNiL'}]",
1164300730007789569,1164155080091865088,1566425900000,2019-08-21,17:18:20,CDT,919211751526359040,wesgdj,Wesley G,,"The NWO isnt a conspiricy. Its a actual thing taking place in our lifetime. Important to remember that the neoliberalism agenda is also a religious agenda to combat what some ppl see as risks. Risks like the erosion of traditions, the breakdown of the nuclear family and so on.","['jysexton', 'pyplate']",[],[],0,0,0,[],[],https://twitter.com/WesGDJ/status/1164300730007789569,False,,0,,,,,,,"[{'user_id': '919211751526359040', 'username': 'WesGDJ'}, {'user_id': '325385270', 'username': 'JYSexton'}, {'user_id': '1646582306', 'username': 'Pyplate'}]",
1164283911603662851,1164228265759977473,1566421890000,2019-08-21,16:11:30,CDT,108359920,feverbrain,Gail Howell,,"FACTS?  ""The chance of dying from gun violence overall is about 50% greater than the lifetime risk of dying while riding inside a car, truck, or van""   https://www.businessinsider.com/us-gun-death-murder-risk-statistics-2018-3 …",['jim_jordan'],['https://www.businessinsider.com/us-gun-death-murder-risk-statistics-2018-3'],[],0,1,1,[],[],https://twitter.com/feverbrain/status/1164283911603662851,False,,0,,,,,,,"[{'user_id': '108359920', 'username': 'feverbrain'}, {'user_id': '18166778', 'username': 'Jim_Jordan'}]",
1164283197968060417,1164283197968060417,1566421720000,2019-08-21,16:08:40,CDT,24078897,vassrbex,𝘙𝘦𝘣𝘦𝘤𝘤𝘢,,"Around the world, more than 80% of women will have one form of HPV during their lifetime. They won’t all lead to precancerous cells but surely we have the right to talk about the risks, insist on smears, stop whispering about things that are killing us. #JadeGoody",[],[],[],1,0,2,['#jadegoody'],[],https://twitter.com/vassrbex/status/1164283197968060417,False,,0,,,,,,,"[{'user_id': '24078897', 'username': 'vassrbex'}]",
1164282328878854149,1164250042477293568,1566421513000,2019-08-21,16:05:13,CDT,1067394160662056960,eyesonthepriz12,EyesOnThePrize,,"For DB, if it comes in, it may well be a once in a lifetime find. So what? What's your target SP and why? What about downside risk?  Otherwise, just more ramping. Nice try!","['dalehodder', 'adrianwfire']",[],[],1,0,0,[],[],https://twitter.com/EyesOnThePriz12/status/1164282328878854149,False,,0,,,,,,,"[{'user_id': '1067394160662056960', 'username': 'EyesOnThePriz12'}, {'user_id': '520520612', 'username': 'DaleHodder'}, {'user_id': '3347353864', 'username': 'Adrianwfire'}]",
1164274379846553601,1164171910915264513,1566419617000,2019-08-21,15:33:37,CDT,108359920,feverbrain,Gail Howell,,"FYI ""The chance of dying from gun violence overall is about 50% greater than the lifetime risk of dying while riding inside a car, truck, or van ...""   https://www.businessinsider.com/us-gun-death-murder-risk-statistics-2018-3 …","['dsch1954', 'brittan75653343', 'sensherrodbrown', 'gunsdownamerica', 'walmart']",['https://www.businessinsider.com/us-gun-death-murder-risk-statistics-2018-3'],[],1,0,0,[],[],https://twitter.com/feverbrain/status/1164274379846553601,False,,0,,,,,,,"[{'user_id': '108359920', 'username': 'feverbrain'}, {'user_id': '745810164', 'username': 'dsch1954'}, {'user_id': '980941320758988801', 'username': 'Brittan75653343'}, {'user_id': '43910797', 'username': 'SenSherrodBrown'}, {'user_id': '768892734220349440', 'username': 'gunsdownamerica'}, {'user_id': '17137891', 'username': 'Walmart'}]",
1164274132365828097,1164270219092738048,1566419558000,2019-08-21,15:32:38,CDT,867473510205181953,wariorfankd35,Nathan 🗣💯,,An entire lifetime. The risk I'm taking warrants this,['rzekek'],[],[],1,0,3,[],[],https://twitter.com/WariorfanKd35/status/1164274132365828097,False,,0,,,,,,,"[{'user_id': '867473510205181953', 'username': 'WariorfanKd35'}, {'user_id': '971533775296520192', 'username': 'RZekek'}]",
1164273556022337547,1164273556022337547,1566419421000,2019-08-21,15:30:21,CDT,46684787,columbushosp,Columbus Community Hospital,,Did you know two out of every five Americans are expected to develop type 2 diabetes in their lifetime? The National Diabetes Prevention Program could cut your risk in half. Learn more about the program here:  https://bit.ly/2lTPpYy  pic.twitter.com/N9Yc8G4Rwj,[],['https://bit.ly/2lTPpYy'],['https://pbs.twimg.com/media/EChUoSPWkAACQML.jpg'],0,0,0,[],[],https://twitter.com/columbushosp/status/1164273556022337547,False,,0,,,,,,,"[{'user_id': '46684787', 'username': 'columbushosp'}]",
1164268542935674880,1162475820121804801,1566418226000,2019-08-21,15:10:26,CDT,961757658255646720,neeyahfab__,THE FABRICS PLUG🔌,,"You’re a nigerian🙄 Take risk,know your worth abeg...in the midst of millions of job seekers people land opportunities of a lifetime oh...you wouldn’t knw until you leave that toxic work place of yours🤷‍♀️","['zorceed', 'great_blogging']",[],[],0,1,1,[],[],https://twitter.com/neeyahfab__/status/1164268542935674880,False,,0,,,,,,,"[{'user_id': '961757658255646720', 'username': 'neeyahfab__'}, {'user_id': '936628067753254912', 'username': 'zorceed'}, {'user_id': '897100117760761856', 'username': 'Great_blogging'}]",
1164266331362996224,1164266331362996224,1566417699000,2019-08-21,15:01:39,CDT,1042927967796514816,lifetimestmarys,LifetimeVisionCare64,,"More use of screens in the school learning environment is happening everywhere.  All day use can mean eyestrain, headaches and dry eyes. Talk to your eye doc about how to help reduce risk of these problems for your child. #askyouroptometrist #kidseyesmatter pic.twitter.com/NpDM1TpS7s",[],[],['https://pbs.twimg.com/media/EChODq2X4AE1FGc.jpg'],0,1,0,"['#askyouroptometrist', '#kidseyesmatter']",[],https://twitter.com/LifetimeStMarys/status/1164266331362996224,False,,0,,,,,,,"[{'user_id': '1042927967796514816', 'username': 'LifetimeStMarys'}]",
1164262278209966080,1164262278209966080,1566416732000,2019-08-21,14:45:32,CDT,814564855332085760,njhivstdline,NJ AIDS HIV STD Line,,Impulsive high-risk behaviors can lead to unintentional consequences - some even affecting your #health for a lifetime.  -unplanned #pregnancy -#STIs including #HIV   -drug abuse/#overdose -#SexualAssault #BackToSchool2019 #collegelife #wellness #STDs #knowyourstatus #condoms https://twitter.com/CDCSTD/status/1162751946656231424 …,[],['https://twitter.com/CDCSTD/status/1162751946656231424'],[],0,1,2,"['#health', '#pregnancy', '#stis', '#hiv', '#overdose', '#sexualassault', '#backtoschool2019', '#collegelife', '#wellness', '#stds', '#knowyourstatus', '#condoms']",[],https://twitter.com/njhivstdline/status/1164262278209966080,False,https://twitter.com/CDCSTD/status/1162751946656231424,0,,,,,,,"[{'user_id': '814564855332085760', 'username': 'njhivstdline'}]",
1164258704763625475,1164253334393503752,1566415880000,2019-08-21,14:31:20,CDT,1108796628532686848,davidmwilley1,D.M.W,,"Apart from the fact that he's far from being a BOY racer, it's about time the courts started handing down LIFETIME driving bans for tw@ts like this who run from police in city centres, endangering police and public. Maybe the risk of NEVER having a driving licence may help.",['daily_star'],[],[],0,0,0,[],[],https://twitter.com/DavidMWilley1/status/1164258704763625475,False,,0,,,,,,,"[{'user_id': '1108796628532686848', 'username': 'DavidMWilley1'}, {'user_id': '20442930', 'username': 'Daily_Star'}]",
